年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/4/1,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/4/2,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/4/3,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/4/4,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/4/5,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/4/6,土,,,,,,,,,,,,,,,,,,,,,,,
2019/4/7,日,,,,,,,,,,,,,,,,,,,,,,,
2019/4/8,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/4/9,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/4/10,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/4/11,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/4/12,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/4/13,土,,,,,,,,,,,,,,,,,,,,,,,
2019/4/14,日,,,,,,,,,,,,,,,,,,,,,,,
2019/4/15,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/4/16,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/4/17,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/4/18,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/4/19,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/4/20,土,,,,,,,,,,,,,,,,,,,,,,,
2019/4/21,日,,,,,,,,,,,,,,,,,,,,,,,
2019/4/22,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/4/23,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/4/24,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/4/25,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/4/26,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/4/27,土,,,,,,,,,,,,,,,,,,,,,,,
2019/4/28,日,,,,,,,,,,,,,,,,,,,,,,,
2019/4/29,月,可燃,可燃,可燃,,,,,,,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,
2019/4/30,火,,,,可燃,可燃,可燃,可燃,可燃,可燃,,,,,,,リプラ,,,,,可燃,可燃,可燃
2019/5/1,水,資源,,他プラ,,,,,不燃,不燃,,,,,,,,,,,他プラ,,,
2019/5/2,木,,,,資源,他プラ,不燃,,,,,,,,,,,,,,,他プラ,,
2019/5/3,金,,,,,,,,,,不燃,,資源,他プラ,,,他プラ,他プラ,,,,,,
2019/5/4,土,,,,,,,,,,,,,,,,,,,,,,,
2019/5/5,日,,,,,,,,,,,,,,,,,,,,,,,
