年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12
 2019-04-01 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-04-02 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-04-03 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-04-04 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-04-05 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-04-06 ,土,,,,,,,,,,,,
 2019-04-07 ,日,,,,,,,,,,,,
 2019-04-08 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-04-09 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-04-10 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-04-11 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-04-12 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-04-13 ,土,,,,,,,,,,,,
 2019-04-14 ,日,,,,,,,,,,,,
 2019-04-15 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-04-16 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-04-17 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-04-18 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-04-19 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-04-20 ,土,,,,,,,,,,,,
 2019-04-21 ,日,,,,,,,,,,,,
 2019-04-22 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-04-23 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-04-24 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-04-25 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-04-26 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-04-27 ,土,,,,,,,,,,,,
 2019-04-28 ,日,,,,,,,,,,,,
 2019-04-29 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-04-30 ,火,可燃,可燃,可燃,可燃,,リプラ,,,可燃,,可燃,リプラ
 2019-05-01 ,水,,,,,,他プラ,,,資源,不燃,不燃,他プラ
 2019-05-02 ,木,不燃,,,資源,,,,,,,他プラ,
 2019-05-03 ,金,,,,,他プラ,,資源,,,,,不燃
 2019-05-04 ,土,,,,,,,,,,,,
 2019-05-05 ,日,,,,,,,,,,,,
 2019-05-06 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-05-07 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-05-08 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-05-09 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-05-10 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-05-11 ,土,,,,,,,,,,,,
 2019-05-12 ,日,,,,,,,,,,,,
 2019-05-13 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-05-14 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-05-15 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-05-16 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-05-17 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-05-18 ,土,,,,,,,,,,,,
 2019-05-19 ,日,,,,,,,,,,,,
 2019-05-20 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-05-21 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-05-22 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-05-23 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-05-24 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-05-25 ,土,,,,,,,,,,,,
 2019-05-26 ,日,,,,,,,,,,,,
 2019-05-27 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-05-28 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-05-29 ,水,リプラ,リプラ,,リプラ,リプラ,,リプラ,,,,,
 2019-05-30 ,木,,,リプラ,,可燃,可燃,可燃,可燃,リプラ,可燃,,可燃
 2019-05-31 ,金,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2019-06-01 ,土,,,,,,,,,,,,
 2019-06-02 ,日,,,,,,,,,,,,
 2019-06-03 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-06-04 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-06-05 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-06-06 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-06-07 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-06-08 ,土,,,,,,,,,,,,
 2019-06-09 ,日,,,,,,,,,,,,
 2019-06-10 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-06-11 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-06-12 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-06-13 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-06-14 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-06-15 ,土,,,,,,,,,,,,
 2019-06-16 ,日,,,,,,,,,,,,
 2019-06-17 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-06-18 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-06-19 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-06-20 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-06-21 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-06-22 ,土,,,,,,,,,,,,
 2019-06-23 ,日,,,,,,,,,,,,
 2019-06-24 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-06-25 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-06-26 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-06-27 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-06-28 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-06-29 ,土,,,,,,,,,,,,
 2019-06-30 ,日,,,,,,,,,,,,
 2019-07-01 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-07-02 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-07-03 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-07-04 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-07-05 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-07-06 ,土,,,,,,,,,,,,
 2019-07-07 ,日,,,,,,,,,,,,
 2019-07-08 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-07-09 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-07-10 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-07-11 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-07-12 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-07-13 ,土,,,,,,,,,,,,
 2019-07-14 ,日,,,,,,,,,,,,
 2019-07-15 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-07-16 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-07-17 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-07-18 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-07-19 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-07-20 ,土,,,,,,,,,,,,
 2019-07-21 ,日,,,,,,,,,,,,
 2019-07-22 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-07-23 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-07-24 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-07-25 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
